Type	Speed	Agent	subject	GameNb	Deflations	Misses	Resets	ShotReg	Entropy	LogCV	ShotPer	RightReg	RightPer	Score
Model	FFF	MS17_FFF	model_102909103_3	9	85.0	7.0	6.0	0.1695344105794113	3.172656974631682	-0.7859066940217849	384.0	0.1989077169431004	384.0	586.0
Model	FFF	MS17_FFF	model_102909103_3	10	66.0	8.0	1.0	0.16610085804939395	3.180550892707601	-0.8339999364878755	416.0	0.11276186234980738	400.0	1086.0
Model	FFF	MS17_FFF	model_102909103_3	11	71.0	5.0	3.0	0.1093401364181925	3.164932044129609	-0.7935803790405758	384.0	0.14165614274049274	400.0	1092.0
Model	FFF	MS17_FFF	model_102909103_3	12	63.0	7.0	3.0	0.12039794107889328	3.1687909386211053	-0.8127793213626228	400.0	0.14420554848511347	400.0	1086.0
Model	FFF	MS17_FFF	model_102909103_3	13	70.0	6.0	8.0	0.13265561806289705	2.998858975579312	-0.785317696574594	400.0	0.13725081794973096	400.0	988.0
Model	FFF	MS17_FFF	model_102909103_3	14	66.0	10.0	3.0	0.1338481194335415	3.1420669929845526	-0.7778903201679822	368.0	0.14984107651386436	384.0	1280.0
Model	FFF	MS17_FFF	model_102909103_3	15	58.0	11.0	6.0	0.15751493705383054	3.082420669646952	-0.8018612520945149	400.0	0.15237254052575905	400.0	780.0
Model	FFF	MS17_FFF	model_102909103_4	1	61.0	77.0	3.0	0.05638398339850968	3.0573816060218144	-0.9995701527678778	496.0	0.22366801346972875	352.0	88.0
Model	FFF	MS17_FFF	model_102909103_4	2	83.0	7.0	5.0	0.1431799934382604	3.0589812570123347	-0.7897961566291954	384.0	0.2196761050994278	368.0	790.0
Model	FFF	MS17_FFF	model_102909103_4	3	73.0	10.0	6.0	0.1358758581913731	3.776863885830749	-0.8629434389126219	384.0	0.17534662148344152	400.0	382.0
Model	FFF	MS17_FFF	model_102909103_4	4	59.0	10.0	5.0	0.1106540883865411	3.152709412394046	-0.7453599547065868	416.0	0.14024935999025168	384.0	882.0
Model	FFF	MS17_FFF	model_102909103_4	5	63.0	25.0	0.0	0.24454522448491461	2.966821218053489	-0.8945503975819991	480.0	0.18229455854398735	464.0	852.0
Model	FFF	MS17_FFF	model_102909103_4	6	59.0	9.0	10.0	0.0971449219028253	3.0749008262818984	-0.8067286267855311	448.0	0.1572304786855098	464.0	1084.0
Model	FFF	MS17_FFF	model_102909103_4	7	61.0	22.0	4.0	0.09436796861621888	3.0594010977384696	-0.830029622370176	400.0	0.10378038935641537	400.0	1180.0
Model	FFF	MS17_FFF	model_102909103_4	8	74.0	10.0	6.0	0.10993942008028117	3.0223324424470226	-0.8394017124814938	448.0	0.13057236776725697	384.0	882.0
Model	FFF	MS17_FFF	model_102909103_4	9	71.0	8.0	10.0	0.08675639989906424	3.527448702254988	-0.8320091860382812	384.0	0.15072067517575033	416.0	584.0
Model	FFF	MS17_FFF	model_102909103_4	10	59.0	9.0	2.0	0.20645172514528035	3.1555391676666953	-0.8373533012834702	432.0	0.20234158868235483	448.0	782.0
Model	FFF	MS17_FFF	model_102909103_4	11	33.0	3.0	16.0	0.09768620364975264	2.9059154391481905	-0.8562651512743623	416.0	0.1535632038793826	448.0	1394.0
Model	FFF	MS17_FFF	model_102909103_4	12	33.0	5.0	31.0	0.0940345658925143	2.965776693379463	-0.8399903569501656	400.0	0.183254936694917	400.0	894.0
Model	FFF	MS17_FFF	model_102909103_4	13	53.0	13.0	7.0	0.12177228330853	3.0472765056128246	-0.7066364717768254	384.0	0.15001440931153734	400.0	978.0
Model	FFF	MS17_FFF	model_102909103_4	14	34.0	10.0	25.0	0.11486657880034754	2.9526086512224308	-0.8240806186833041	400.0	0.13419193339212404	416.0	980.0
Model	FFF	MS17_FFF	model_102909103_4	15	49.0	17.0	9.0	0.0856024027818331	2.9592962365789437	-0.7982599495580974	384.0	0.149901932394789	400.0	1470.0
Model	FFF	MS17_FFF	model_102909103_5	1	100.0	13.0	1.0	0.17578022812872002	2.9904294868894956	-1.0743198043682645	496.0	0.18250792873790866	352.0	190.0
Model	FFF	MS17_FFF	model_102909103_5	2	64.0	37.0	2.0	0.23650258311224628	3.283065085051072	-0.9735489154544755	464.0	0.1726796432659351	480.0	476.0
Model	FFF	MS17_FFF	model_102909103_5	3	59.0	13.0	13.0	0.1057545008347937	3.1300727723907937	-0.806327539848915	400.0	0.16371515606739945	384.0	574.0
Model	FFF	MS17_FFF	model_102909103_5	4	73.0	18.0	23.0	0.18557688021009563	3.1922450513917444	-0.8271878172246855	400.0	0.16219431358083639	384.0	364.0
Model	FFF	MS17_FFF	model_102909103_5	5	78.0	34.0	7.0	0.20639504503573425	3.3690195251253208	-0.8700612179856542	400.0	0.15097463587735013	400.0	634.0
Model	FFF	MS17_FFF	model_102909103_5	6	68.0	12.0	3.0	0.03146477525296332	3.1961534762478907	-0.8344737822063204	432.0	0.14968183584942601	352.0	1076.0
Model	FFF	MS17_FFF	model_102909103_5	7	63.0	12.0	26.0	0.10505246184442163	3.0889957782130164	-0.7273901947137376	352.0	0.1773317690000209	384.0	480.0
