Subject	Group	GameNb	ISI	IRI
AAE1COF4E8740	Streamed	15	322.82876712328766	501.8817204301075
A122LRCSBAD6DC	Streamed	1	534.4011627906976	499.54395604395603
A122LRCSBAD6DC	Streamed	2	493.2110552763819	516.3957219251337
A122LRCSBAD6DC	Streamed	3	522.9627659574468	526.8688524590164
A122LRCSBAD6DC	Streamed	4	498.71020408163264	501.5355648535565
A122LRCSBAD6DC	Streamed	5	473.59473684210525	500.28409090909093
A122LRCSBAD6DC	Streamed	6	480.066985645933	501.75
A122LRCSBAD6DC	Streamed	7	470.06363636363636	491.45853658536583
A122LRCSBAD6DC	Streamed	8	453.3686868686869	509.73988439306356
A122LRCSBAD6DC	Streamed	9	465.77777777777777	515.1133333333333
A122LRCSBAD6DC	Streamed	10	462.324200913242	502.840206185567
A122LRCSBAD6DC	Streamed	11	449.24528301886795	487.4579831932773
A122LRCSBAD6DC	Streamed	12	441.7733333333333	491.44162436548226
A122LRCSBAD6DC	Streamed	13	418.2123552123552	481.26605504587155
A122LRCSBAD6DC	Streamed	14	369.5472440944882	484.5752688172043
A122LRCSBAD6DC	Streamed	15	376.6782945736434	479.92857142857144
A1RH69F7I73LRW	Streamed	1	471.04371584699453	489.33720930232556
A1RH69F7I73LRW	Streamed	2	410.47257383966246	503.2083333333333
A1RH69F7I73LRW	Streamed	3	406.6070175438596	499.1465517241379
A1RH69F7I73LRW	Streamed	4	391.40625	501.93197278911566
A1RH69F7I73LRW	Streamed	5	365.1703703703704	489.3787878787879
A1RH69F7I73LRW	Streamed	6	364.5156794425087	501.27142857142854
A1RH69F7I73LRW	Streamed	7	402.78280542986425	505.80571428571426
A1RH69F7I73LRW	Streamed	8	367.2655737704918	509.88425925925924
A1RH69F7I73LRW	Streamed	9	380.9871794871795	505.9367816091954
A1RH69F7I73LRW	Streamed	10	381.8008298755187	494.7692307692308
A1RH69F7I73LRW	Streamed	11	379.40816326530614	504.993006993007
A1RH69F7I73LRW	Streamed	12	361.3140794223827	509.5357142857143
A1RH69F7I73LRW	Streamed	13	360.6387665198238	508.2611464968153
A1RH69F7I73LRW	Streamed	14	361.99588477366257	508.41279069767444
A1RH69F7I73LRW	Streamed	15	359.6818181818182	491.2200956937799
A1SISJL5ST2PWH	Streamed	1	419.97752808988764	496.85135135135135
A1SISJL5ST2PWH	Streamed	2	402.0113636363636	503.9261083743842
A1SISJL5ST2PWH	Streamed	3	387.3936170212766	496.59124087591243
A1SISJL5ST2PWH	Streamed	4	345.5982142857143	509.35616438356163
A1SISJL5ST2PWH	Streamed	5	413.90445859872614	496.8346456692913
A1SISJL5ST2PWH	Streamed	6	404.30041152263374	480.574358974359
A1SISJL5ST2PWH	Streamed	7	372.91282051282053	475.3758389261745
A1SISJL5ST2PWH	Streamed	8	367.64338235294116	499.0416666666667
A1SISJL5ST2PWH	Streamed	9	400.4424778761062	472.224043715847
A1SISJL5ST2PWH	Streamed	10	401.5287356321839	482.7410071942446
A1SISJL5ST2PWH	Streamed	11	394.76119402985074	502.47402597402595
A1SISJL5ST2PWH	Streamed	12	362.5625	483.05494505494505
A1SISJL5ST2PWH	Streamed	13	325.5471014492754	483.7039106145251
A1SISJL5ST2PWH	Streamed	14	350.84046692607006	483.98333333333335
A1SISJL5ST2PWH	Streamed	15	339.5744680851064	487.8607594936709
A1U2A42K8FV3RA	Streamed	1	407.4074074074074	501.7931034482759
A1U2A42K8FV3RA	Streamed	2	448.9914163090129	492.9033816425121
A1U2A42K8FV3RA	Streamed	3	457.996	506.4027149321267
A1U2A42K8FV3RA	Streamed	4	428.0430107526882	506.7142857142857
A1U2A42K8FV3RA	Streamed	5	417.66831683168317	499.4096385542169
A1U2A42K8FV3RA	Streamed	6	403.9188034188034	501.81081081081084
A1U2A42K8FV3RA	Streamed	7	411.0061728395062	508.46153846153845
A1U2A42K8FV3RA	Streamed	8	421.1062801932367	517.3841463414634
A1U2A42K8FV3RA	Streamed	9	423.29059829059827	502.42487046632124
A1U2A42K8FV3RA	Streamed	10	426.1720430107527	500.53548387096777
A1U2A42K8FV3RA	Streamed	11	410.09057971014494	505.36160714285717
